tid	readthrough_novelty	gid	max_tpm	log2_max_tpm
ENSG00000242086[2,5,6]	Known	ENSG00000242086	1.2053696808542695	0.2694756816759414
ENSG00000242086[3,33,4]	Known	ENSG00000242086	2.158531162714396	1.1100499211380221
ENSG00000242086[4,37,20]	Known	ENSG00000242086	1.4546978010788039	0.5407194787918611
ENSG00000242086[4,7,4]	Known	ENSG00000242086	1.3124926992593604	0.3923093978099148
ENSG00000242086[5,8,4]	Known	ENSG00000242086	3.148109088276127	1.6544855339801423
ENSG00000259112[1,1,1]	Known	ENSG00000259112	1.5496908366780828	0.6319804265448494
ENSG00000259112[1,4,1]	Known	ENSG00000259112	1.0066215565993102	0.009521398304024162
ENSG00000255526[1,1,1]	Known	ENSG00000255526	2.1216647430239663	1.0851967053625664
ENSG00000011052[1,1,1]	Known	ENSG00000011052	59.78008401592641	5.90159301949245
ENSG00000011052[1,2,1]	Known	ENSG00000011052	2.4908368339969336	1.3166305187712937
ENSG00000011052[1,3,1]	Known	ENSG00000011052	3.3832074498228044	1.75839164229733
ENSG00000196696[2,2,3]	Known	ENSG00000196696	3.978154626892193	1.9920993533750406
ENSG00000196696[2,4,1]	Known	ENSG00000196696	4.927885326137306	2.3009686843327466
ENSG00000258724[1,1,1]	Known	ENSG00000258724	2.1216647430239663	1.0851967053625664
ENSG00000260238[1,1,1]	Known	ENSG00000260238	20.444392954862188	4.353633321165099
ENSG00000260238[1,2,1]	Known	ENSG00000260238	8.532095610663413	3.0929001326096963
ENSG00000260238[1,3,1]	Known	ENSG00000260238	1.797849771673079	0.8462724742911089
ENSG00000260238[1,4,1]	Known	ENSG00000260238	2.0219870875904586	1.0157737842198136
ENSG00000259075[1,1,1]	Known	ENSG00000259075	11.472438286476617	3.5201001409895976
ENSG00000259075[1,2,2]	Known	ENSG00000259075	7.5286276064736155	2.9123868999854086
ENSG00000168255[1,10,2]	Known	ENSG00000168255	4.279521207167342	2.097449396933778
ENSG00000168255[1,11,2]	Known	ENSG00000168255	28.625232324430204	4.8392154971604615
ENSG00000168255[1,8,2]	Known	ENSG00000168255	64.73824170935518	6.016546277369241
ENSG00000275778[1,1,1]	Known	ENSG00000275778	1.0113432256185375	0.016272696413898526
ENSG00000275778[1,2,2]	Known	ENSG00000275778	2.3156054439883986	1.2113894534594574
ENSG00000248405[2,2,1]	Known	ENSG00000248405	2.158531162714396	1.1100499211380221
ENSG00000108825[1,1,1]	Known	ENSG00000108825	2.4583796328164182	1.2977077196531497
ENSG00000108825[1,2,1]	Known	ENSG00000108825	1.1578027219941993	0.21138945345945745
ENSG00000108825[2,3,1]	Known	ENSG00000108825	1.672383430693922	0.7419056549201084
ENSG00000108825[2,4,1]	Known	ENSG00000108825	1.831059157859272	0.8726784024795948
ENSG00000171570[1,1,1]	Known	ENSG00000171570	4.368099767398688	2.1270058077888074
ENSG00000248643[1,1,1]	Known	ENSG00000248643	4.364093403236412	2.1256819795130175
ENSG00000248643[1,2,1]	Known	ENSG00000248643	8.532095610663413	3.0929001326096963
