ENCODE_experiment_id	dataset	sample	sample_display	general_tissue_cell_type	fig1_tissue_label	age	adult	sex	genotype	tissue_or_cell_line	sample_color_hex_code	matching_human_samples	reads_post_talon	ENCODE_alignments_id	ENCODE_reads_id	ENCODE_unfiltered_alignments_id
ENCSR972DID	hippocampus_2mo_m_1	hippocampus_2mo	Hippocampus PNM2	hippocampus	hippocampus	2mo	True	m	b6/cast	tissue	#c96579	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1112491	ENCFF572WXI	ENCFF338YTG	ENCFF724GWS
ENCSR972DID	hippocampus_2mo_m_2	hippocampus_2mo	Hippocampus PNM2	hippocampus	hippocampus	2mo	True	m	b6/cast	tissue	#c96579	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	961793	ENCFF436RSJ	ENCFF509RDZ	ENCFF851TZJ
ENCSR845IUJ	gastroc_2mo_m_2	gastroc_2mo	Gastrocnemius PNM2	muscle	muscle	2mo	True	m	b6/cast	tissue	#50649d	['muscle']	1480977	ENCFF958QWV	ENCFF441MLQ	ENCFF434ITE
ENCSR845IUJ	gastroc_2mo_m_1	gastroc_2mo	Gastrocnemius PNM2	muscle	muscle	2mo	True	m	b6/cast	tissue	#50649d	['muscle']	1182747	ENCFF291WVH	ENCFF327DHL	ENCFF262EPW
ENCSR437WYC	gastroc_36d_m_1	gastroc_36d	Gastrocnemius PND36	muscle	muscle	36d	True	m	b6/cast	tissue	#6d7eae	['muscle']	1106945	ENCFF524QBF	ENCFF107CZA	ENCFF937OFR
ENCSR437WYC	gastroc_36d_m_2	gastroc_36d	Gastrocnemius PND36	muscle	muscle	36d	True	m	b6/cast	tissue	#6d7eae	['muscle']	1514119	ENCFF550PLW	ENCFF957OYJ	ENCFF472VGI
ENCSR370BHF	gastroc_2mo_f_2	gastroc_2mo	Gastrocnemius PNM2	muscle	muscle	2mo	True	f	b6/cast	tissue	#50649d	['muscle']	1359923	ENCFF721JWI	ENCFF095FKV	ENCFF949HWT
ENCSR370BHF	gastroc_2mo_f_1	gastroc_2mo	Gastrocnemius PNM2	muscle	muscle	2mo	True	f	b6/cast	tissue	#50649d	['muscle']	1349298	ENCFF385JNL	ENCFF271ZDH	ENCFF970PLN
ENCSR187TGD	heart_14d_f_1	heart_14d	Heart PND14	heart	heart	14d	True	f	b6/cast	tissue	#c7ddb9	['heart']	896941	ENCFF245XSW	ENCFF885OVT	ENCFF703PQX
ENCSR187TGD	heart_14d_f_2	heart_14d	Heart PND14	heart	heart	14d	True	f	b6/cast	tissue	#c7ddb9	['heart']	972159	ENCFF951AXN	ENCFF484VDN	ENCFF079VYU
ENCSR026WRM	hippocampus_14d_m_2	hippocampus_14d	Hippocampus PND14	hippocampus	hippocampus	14d	True	m	b6/cast	tissue	#e4b2bc	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	753385	ENCFF587QKV	ENCFF182ZKL	ENCFF574LQO
ENCSR026WRM	hippocampus_14d_m_1	hippocampus_14d	Hippocampus PND14	hippocampus	hippocampus	14d	True	m	b6/cast	tissue	#e4b2bc	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	832263	ENCFF753VCG	ENCFF402OZL	ENCFF655BWX
ENCSR146ZFC	hippocampus_14d_f_2	hippocampus_14d	Hippocampus PND14	hippocampus	hippocampus	14d	True	f	b6/cast	tissue	#e4b2bc	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	888704	ENCFF083NGA	ENCFF809BZD	ENCFF834PLA
ENCSR146ZFC	hippocampus_14d_f_1	hippocampus_14d	Hippocampus PND14	hippocampus	hippocampus	14d	True	f	b6/cast	tissue	#e4b2bc	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1168366	ENCFF176XZM	ENCFF518QIV	ENCFF609FJG
ENCSR295PVQ	adrenal_25d_m_1	adrenal_25d	Adrenal gland PND25	adrenal gland	adrenal gland	25d	True	m	b6/cast	tissue	#d39481	['adrenal gland']	793999	ENCFF886RIS	ENCFF873KDL	ENCFF535UYC
ENCSR295PVQ	adrenal_25d_m_2	adrenal_25d	Adrenal gland PND25	adrenal gland	adrenal gland	25d	True	m	b6/cast	tissue	#d39481	['adrenal gland']	1290342	ENCFF664ZFM	ENCFF866CSV	ENCFF388RDV
ENCSR309XOR	adrenal_18-20mo_f_1	adrenal_18-20mo	Adrenal gland PNM18-20	adrenal gland	adrenal gland	18-20mo	True	f	b6/cast	tissue	#b24422	['adrenal gland']	1478362	ENCFF745YKM	ENCFF169PFY	ENCFF416OPW
ENCSR309XOR	adrenal_18-20mo_f_2	adrenal_18-20mo	Adrenal gland PNM18-20	adrenal gland	adrenal gland	18-20mo	True	f	b6/cast	tissue	#b24422	['adrenal gland']	1007541	ENCFF331LQP	ENCFF142VQP	ENCFF125RCP
ENCSR172GXL	f1219_1_1	f1219	F121-9	ES	ES			f	129/sv/cast	cell_line	#4340bc	['h1', 'wtc11']	2149966	ENCFF945QSC	ENCFF667VXS	ENCFF108NUC
ENCSR172GXL	f1219_1_2	f1219	F121-9	ES	ES			f	129/sv/cast	cell_line	#4340bc	['h1', 'wtc11']	3242087	ENCFF240QMR	ENCFF874VSI	ENCFF008DSH
ENCSR172GXL	f1219_1_3	f1219	F121-9	ES	ES			f	129/sv/cast	cell_line	#4340bc	['h1', 'wtc11']	1708941	ENCFF697PDG	ENCFF313VYZ	ENCFF292NKU
ENCSR907NKV	c2c12_myotube_1_1	c2c12_myotube	C2C12-derived myotubes	C2C12	C2C12			f	c3h	cell_line	#009c73	['muscle']	2046576	ENCFF202MCY	ENCFF003OWX	ENCFF731HHB
ENCSR907NKV	c2c12_myotube_1_2	c2c12_myotube	C2C12-derived myotubes	C2C12	C2C12			f	c3h	cell_line	#009c73	['muscle']	2133422	ENCFF396UFT	ENCFF669LWV	ENCFF699KOR
ENCSR340GWV	cortex_wt_m_1_1	cortex	Cortex	cortex	cortex		True	m	b6n	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1306424	ENCFF839PZB	ENCFF479GNP	ENCFF797SZT
ENCSR340GWV	cortex_wt_m_1_2	cortex	Cortex	cortex	cortex		True	m	b6n	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1304133	ENCFF773TTA	ENCFF402ZUC	ENCFF378JMO
ENCSR926OGQ	hippocampus_wt_m_2_1	hippocampus	Hippocampus	hippocampus	hippocampus		True	m	b6n	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	2859829	ENCFF131HHK	ENCFF376LTY	ENCFF949ERN
ENCSR926OGQ	hippocampus_wt_m_2_2	hippocampus	Hippocampus	hippocampus	hippocampus		True	m	b6n	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	3010771	ENCFF764ZXE	ENCFF314QJI	ENCFF988VNH
ENCSR221XGR	c2c12_myoblast_1_1	c2c12_myoblast	C2C12	C2C12	C2C12			f	c3h	cell_line	#ca79a7	['muscle']	2576794	ENCFF408MUF	ENCFF676BYQ	ENCFF772LYG
ENCSR221XGR	c2c12_myoblast_1_2	c2c12_myoblast	C2C12	C2C12	C2C12			f	c3h	cell_line	#ca79a7	['muscle']	2591602	ENCFF652XIT	ENCFF019HRC	ENCFF421MIL
ENCSR942UFC	adrenal_gland_2_1	adrenal	Adrenal gland	adrenal gland	adrenal gland		True	m	b6	tissue	#8e361b	['adrenal gland']	848782	ENCFF694ZVY	ENCFF311BUV	ENCFF897FRD
ENCSR942UFC	adrenal_gland_2_2	adrenal	Adrenal gland	adrenal gland	adrenal gland		True	m	b6	tissue	#8e361b	['adrenal gland']	545229	ENCFF343ZMH	ENCFF698CVI	ENCFF245MJA
ENCSR280VKU	cortex_5x_f_1_1	cortex	Cortex	cortex	cortex		True	f	5xfad	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1976211	ENCFF211JXU	ENCFF944JXN	ENCFF832UPU
ENCSR280VKU	cortex_5x_f_1_2	cortex	Cortex	cortex	cortex		True	f	5xfad	tissue	#634273	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1507250	ENCFF663GCV	ENCFF148ESR	ENCFF971OCD
ENCSR214HSG	hippocampus_wt_m_1_1	hippocampus	Hippocampus	hippocampus	hippocampus		True	m	b6n	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1366252	ENCFF428AJY	ENCFF309DMQ	ENCFF894ESP
ENCSR214HSG	hippocampus_wt_m_1_2	hippocampus	Hippocampus	hippocampus	hippocampus		True	m	b6n	tissue	#9a3c4f	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1330153	ENCFF648REP	ENCFF103DSA	ENCFF946NWJ
ENCSR804QMV	forelimb_e11_1_1	forelimb_e11	Forelimb E11	forelimb	forelimb	e11			b6n	tissue	#99ebec	['muscle', 'h9_osteocyte']	538705	ENCFF226FNF	ENCFF348TRU	ENCFF566IYO
